112,-25,62,3.0,3
360,-22,62,3.0,3
380,-13,70,3.0,3
393,-16,72,1.0,1
383,-21,68,1.0,1
125,-21,65,0.0,0
150,-9,71,3.0,3
353,-12,62,1.0,1
347,-12,60,1.0,1
361,-14,65,1.0,1
355,-14,64,1.0,1
395,-19,77,2.0,2
385,-17,78,1.0,1
301,-19,85,3.0,3
302,-17,83,1.0,1
376,-20,84,1.0,1
297,-18,85,1.0,1
120,-23,84,1.0,1
303,-18,81,1.0,1
306,-15,79,1.0,1
305,-12,80,1.0,1
369,-16,67,2.0,2
100,-28,65,1.0,1
96,-29,66,0.0,0
72,-35,66,2.0,2
70,-36,69,2.0,2
66,-37,66,2.0,2
73,-35,69,0.0,0
76,-34,71,0.0,0
372,-26,82,2.0,2
116,-24,84,1.0,1
84,-31,80,1.0,1
85,-31,82,0.0,0
86,-31,83,1.0,1
367,-26,75,1.0,1
379,-28,76,1.0,1
130,-20,79,1.0,1
119,-23,78,0.0,0
115,-24,75,0.0,0
398,-9,73,1.0,1
94,-29,51,2.0,2
368,-28,51,1.0,1
105,-27,55,1.0,1
111,-25,57,1.0,1
357,-24,55,0.0,0
363,-23,57,0.0,0
371,-21,55,0.0,0
391,-17,55,1.0,1
381,-19,53,1.0,1
362,-19,56,1.0,1
356,-21,50,1.0,1
108,-26,44,1.0,1
109,-26,46,2.0,2
114,-24,49,1.0,1
99,-28,57,1.0,1
83,-31,57,0.0,0
95,-29,64,1.0,1
126,-21,71,1.0,1
101,-28,72,0.0,0
45,-41,75,1.0,1
53,-40,73,1.0,1
26,-46,75,1.0,1
18,-49,74,1.0,1
17,-49,71,1.0,1
370,-47,71,1.0,1
21,-48,67,1.0,1
377,-55,66,2.0,2
8,-54,68,0.0,0
19,-49,76,1.0,1
20,-49,85,1.0,1
22,-47,83,0.0,0
32,-44,83,1.0,1
373,-42,81,2.0,2
46,-41,82,1.0,1
61,-38,83,1.0,1
42,-42,83,0.0,0
30,-45,80,0.0,0
29,-45,78,0.0,0
28,-45,67,1.0,1
36,-43,69,0.0,0
37,-43,70,1.0,1
41,-42,66,0.0,0
55,-39,51,1.0,1
40,-42,56,1.0,1
35,-43,56,1.0,1
27,-45,45,2.0,2
80,-33,46,1.0,1
89,-30,43,1.0,1
69,-36,58,1.0,1
375,-36,80,1.0,1
52,-40,57,1.0,1
56,-39,62,0.0,0
374,-11,46,1.0,1
364,-18,63,0.0,0
148,-10,57,0.0,0
300,-15,83,0.0,0
151,-9,76,0.0,0
7,-54,53,1.0,1
382,-47,50,1.0,1
5,-55,47,1.0,1
14,-51,70,0.0,0
11,-53,51,1.0,1
378,-48,56,0.0,0
90,-30,83,0.0,0
147,-10,48,1.0,1
15,-51,72,0.0,0
