183,-9,47,2.0,2
156,-24,47,0.0,0
133,-35,47,1.0,1
147,-28,46,3.0,3
151,-27,45,2.0,2
122,-41,45,3.0,3
182,-9,44,0.0,0
186,-8,44,0.0,0
203,0,43,2.0,2
161,-21,43,2.0,2
126,-40,42,1.0,1
127,-38,42,0.0,0
130,-37,42,1.0,1
144,-29,42,1.0,1
170,-14,42,3.0,3
199,-1,42,1.0,1
149,-28,41,2.0,2
141,-30,41,0.0,0
107,-46,41,0.0,0
158,-23,40,1.0,1
169,-15,40,3.0,3
166,-17,39,1.0,1
106,-46,39,0.0,0
105,-46,38,2.0,2
143,-29,38,0.0,0
160,-22,38,3.0,3
165,-18,38,0.0,0
191,-7,38,0.0,0
198,-1,38,0.0,0
381,1,38,0.0,0
164,-18,37,1.0,1
162,-21,37,3.0,3
129,-37,37,3.0,3
121,-41,37,1.0,1
114,-43,37,1.0,1
136,-32,36,1.0,1
171,-13,35,0.0,0
135,-34,34,3.0,3
139,-31,34,2.0,2
181,-9,34,0.0,0
202,0,34,1.0,1
380,1,20,0.0,0
201,0,26,1.0,1
140,-30,33,1.0,1
113,-43,33,3.0,3
108,-45,33,0.0,0
148,-28,32,2.0,2
197,-2,30,2.0,2
196,-3,26,0.0,0
195,-4,30,1.0,1
175,-11,31,2.0,2
154,-25,31,2.0,2
119,-42,30,0.0,0
134,-34,30,0.0,0
142,-29,30,2.0,2
190,-7,30,2.0,2
194,-4,14,0.0,0
193,-6,28,1.0,1
180,-10,29,2.0,2
159,-22,29,3.0,3
104,-46,28,1.0,1
138,-31,25,1.0,1
137,-31,24,1.0,1
150,-27,17,3.0,3
179,-10,22,1.0,1
174,-11,26,2.0,2
168,-15,22,1.0,1
189,-7,16,2.0,2
188,-7,6,2.0,2
92,-7,-1,3.0,3
192,-6,1,0.0,0
102,-46,16,3.0,3
103,-46,27,1.0,1
112,-44,21,2.0,2
111,-44,20,1.0,1
110,-44,16,3.0,3
109,-44,1,0.0,0
118,-42,20,1.0,1
117,-42,12,0.0,0
116,-42,7,0.0,0
115,-42,5,1.0,1
120,-41,4,1.0,1
123,-40,9,3.0,3
124,-40,10,0.0,0
125,-40,12,1.0,1
128,-37,24,3.0,3
132,-36,23,1.0,1
131,-36,1,1.0,1
145,-28,9,3.0,3
146,-28,13,1.0,1
153,-26,11,1.0,1
152,-26,5,1.0,1
157,-23,8,0.0,0
155,-24,5,3.0,3
172,-12,13,2.0,2
163,-19,11,0.0,0
173,-11,13,3.0,3
167,-16,3,1.0,1
178,-10,10,3.0,3
177,-10,5,3.0,3
185,-8,5,0.0,0
187,-7,5,0.0,0
184,-8,3,1.0,1
176,-10,1,1.0,1
85,-22,-2,3.0,3
